"N","Year","Status","Team","PTS","FG","FGA","FGP","TP","TPA","TPP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"30",1994,"Runner Up","Knicks",86.8571428571429,33.1428571428571,81.4285714285714,40.7017543859649,5.14285714285714,15,34.2857142857143,15.4285714285714,21.1428571428571,72.972972972973,15,28,43,21.7142857142857,8.14285714285714,6.14285714285714,12.7142857142857,22.8571428571429
"31",1995,"Champion","Rockets",114,40.5,85.75,47.2303206997085,9.25,23,40.2173913043478,23.75,30.75,77.2357723577236,11,32.25,43.25,26.25,10,5,9.75,20.75
"32",1995,"Runner Up","Magic",107,40.75,87.5,46.5714285714286,10.25,29.5,34.7457627118644,15.25,22.25,68.5393258426966,12,34,46,27.5,5.25,5,16,24.25
"33",1996,"Champion","Bulls",93,32.8333333333333,79,41.5611814345992,6,22.8333333333333,26.2773722627737,21.3333333333333,28.1666666666667,75.7396449704142,16.8333333333333,24,40.8333333333333,21.6666666666667,8.33333333333333,4.16666666666667,13.3333333333333,24.8333333333333
"34",1996,"Runner Up","Sonics",92.75,31.5,69,45.6521739130435,5.25,16,32.8125,24.5,28.75,85.2173913043478,11.5,25.25,36.75,16.25,5.5,2.75,16.5,28
"35",1997,"Champion","Bulls",87.8333333333333,32.3333333333333,74.8333333333333,43.2071269487751,6.5,18.6666666666667,34.8214285714286,16.6666666666667,23.5,70.9219858156028,10.6666666666667,29.6666666666667,40.3333333333333,19.6666666666667,7.66666666666667,5.33333333333333,11.3333333333333,23.3333333333333
"36",1997,"Runner Up","Jazz",85.875,30.625,71.5,42.8321678321678,5.75,15.375,37.3983739837398,18.875,25,75.5,10.125,30,40.125,19.625,7.25,3.25,13.375,22.5
"37",1998,"Champion","Bulls",88,32.5,75.5,43.046357615894,4.33333333333333,14.6666666666667,29.5454545454545,18.6666666666667,24.6666666666667,75.6756756756757,12.1666666666667,25.5,37.6666666666667,18.3333333333333,10,4.5,12,21
"38",1998,"Runner Up","Jazz",80.1666666666667,31.8333333333333,71.8333333333333,44.3155452436195,2.16666666666667,10,21.6666666666667,14.3333333333333,18.6666666666667,76.7857142857143,10.1666666666667,27.8333333333333,38,21.3333333333333,6.33333333333333,2.66666666666667,16.3333333333333,25
"39",1999,"Champion","Spurs",84.8,30,67.4,44.5103857566766,4.2,12.4,33.8709677419355,20.6,28.2,73.0496453900709,8.4,32.2,40.6,20.2,6.4,5.8,15.4,20
"40",1999,"Runner Up","Knicks",79.8,30.8,78.6,39.1857506361323,2.2,10.8,20.3703703703704,16,21,76.1904761904762,9.8,28.4,38.2,14,8,3.4,11.6,24.6
"41",2000,"Champion","Lakers",104.833333333333,41,85.3333333333333,48.046875,5.83333333333333,15.3333333333333,38.0434782608696,17,29.8333333333333,56.9832402234637,12.1666666666667,29.1666666666667,41.3333333333333,23.3333333333333,6.83333333333333,5.16666666666667,10.8333333333333,26.6666666666667
"42",2000,"Runner Up","Pacers",106.666666666667,36.3333333333333,78.5,46.2845010615711,8.16666666666667,19.3333333333333,42.2413793103448,25.8333333333333,30.3333333333333,85.1648351648352,8.66666666666667,32.5,41.1666666666667,20.1666666666667,5.5,4.33333333333333,10.8333333333333,26.5
"43",2001,"Champion","Lakers",100.6,36.2,77.8,46.5295629820051,7.2,15,48,21,31,67.741935483871,13.4,31.8,45.2,23,8.2,8.8,14.8,23.2
"44",2001,"Runner Up","Sixers",93.8,35.4,83.4,42.4460431654676,3.4,11.8,28.8135593220339,19.6,27.4,71.5328467153285,13.2,29.6,42.8,18.4,7.8,4.8,12.4,25
"45",2002,"Champion","Lakers",106,36.5,72.25,50.5190311418685,7.25,15.25,47.5409836065574,25.75,35.25,73.0496453900709,10.75,33.25,44,23,7,7,15,19.5
"46",2002,"Runner Up","Nets",96.75,38.75,88.75,43.6619718309859,4.5,14.75,30.5084745762712,14.75,22,67.0454545454545,15,24,39,21.5,9.5,4.5,11.25,26.25
"47",2003,"Champion","Spurs",87.8333333333333,32.1666666666667,74.5,43.1767337807606,4,12.5,32,19.5,27.6666666666667,70.4819277108434,12.3333333333333,33.5,45.8333333333333,18.1666666666667,7.83333333333333,9.83333333333333,15.8333333333333,20.5
"48",2003,"Runner Up","Nets",82,30.3333333333333,82,36.9918699186992,3.83333333333333,13.8333333333333,27.710843373494,17.5,22.3333333333333,78.3582089552239,14.3333333333333,28.1666666666667,42.5,16.6666666666667,7.83333333333333,6.33333333333333,13.6666666666667,24.1666666666667
"49",2004,"Champion","Pistons",90.8,31.4,73.2,42.896174863388,4.2,13.2,31.8181818181818,23.8,34.2,69.5906432748538,14.4,31.2,45.6,17.8,7.8,4,12.6,20.6
"50",2004,"Runner Up","Lakers",81.8,31.6,76,41.5789473684211,4.4,17.8,24.7191011235955,14.2,22.2,63.963963963964,10.4,27.2,37.6,20.6,7.2,2.8,13.2,28.4
"51",2005,"Champion","Spurs",84.8571428571429,30.8571428571429,71.8571428571429,42.9423459244533,7.28571428571429,18.2857142857143,39.84375,15.8571428571429,22.7142857142857,69.811320754717,12.2857142857143,29.4285714285714,41.7142857142857,16.4285714285714,4.57142857142857,5.57142857142857,15,20.2857142857143
"52",2005,"Runner Up","Pistons",86.7142857142857,35.4285714285714,81.5714285714286,43.4325744308231,2.57142857142857,10.7142857142857,24,13.2857142857143,18,73.8095238095238,13.7142857142857,27.2857142857143,41,18.5714285714286,9,7.57142857142857,8.71428571428571,21.2857142857143
"53",2006,"Champion","Heat",92.8333333333333,33.3333333333333,72.8333333333333,45.766590389016,5.33333333333333,17.5,30.4761904761905,20.8333333333333,34.5,60.3864734299517,10.5,33.3333333333333,43.8333333333333,16.6666666666667,7.83333333333333,3.83333333333333,16,24.3333333333333
"54",2006,"Runner Up","Mavericks",91.8333333333333,33,78.1666666666667,42.2174840085288,5.5,19.3333333333333,28.448275862069,20.3333333333333,25.8333333333333,78.7096774193548,10.1666666666667,31.6666666666667,41.8333333333333,15.8333333333333,7.33333333333333,3.33333333333333,14.5,27.3333333333333
"55",2007,"Champion","Spurs",86.5,32,72,44.4444444444444,7.25,19.5,37.1794871794872,15.25,23,66.304347826087,10.75,33,43.75,16.75,6,3.75,13,18
"56",2007,"Runner Up","Cavaliers",80.5,31,78.5,39.4904458598726,5.5,18.75,29.3333333333333,13,18.75,69.3333333333333,12.25,28.75,41,16.5,6.25,2.75,11,19
"57",2008,"Champion","Celtics",96.4,32.6,75.4,43.236074270557,7.8,19,41.0526315789474,23.4,30.8,75.974025974026,10.2,30.8,41,21,6.8,4,14,24.6
"58",2008,"Runner Up","Lakers",93.8333333333333,33,74.8333333333333,44.097995545657,7.16666666666667,20.6666666666667,34.6774193548387,20.6666666666667,28.3333333333333,72.9411764705882,8.16666666666667,29,37.1666666666667,19.3333333333333,6.83333333333333,3.16666666666667,13.5,26
"59",2009,"Champion","Lakers",105.666666666667,38.8333333333333,83.8333333333333,46.3220675944334,7.5,18.6666666666667,40.1785714285714,20.5,26.1666666666667,78.343949044586,11.1666666666667,30.6666666666667,41.8333333333333,19.1666666666667,9,5,9.5,24.3333333333333
"60",2009,"Runner Up","Magic",91.2,32.2,75.2,42.8191489361702,7.6,23,33.0434782608696,19.2,27.8,69.0647482014388,7.6,30.6,38.2,18.4,6,6,14,22
"61",2010,"Champion","Lakers",90.5714285714286,31.8571428571429,76.2857142857143,41.7602996254682,5,17.8571428571429,28,21.8571428571429,28.5714285714286,76.5,13.1428571428571,29.2857142857143,42.4285714285714,14.5714285714286,7.28571428571429,6.14285714285714,12.4285714285714,22.2857142857143
"62",2010,"Runner Up","Celtics",87.1428571428571,33,76.1428571428571,43.3395872420263,4.71428571428571,15.2857142857143,30.8411214953271,16.4285714285714,21.2857142857143,77.1812080536913,10.1428571428571,27.7142857142857,37.8571428571429,19.7142857142857,7,4.28571428571429,13.1428571428571,24.8571428571429
"63",2011,"Champion","Mavericks",94.6666666666667,33,72.6666666666667,45.4128440366972,8.5,20.6666666666667,41.1290322580645,20.1666666666667,25.8333333333333,78.0645161290323,9.16666666666667,28.5,37.6666666666667,18.1666666666667,7.16666666666667,4,13.1666666666667,19.6666666666667
"64",2011,"Runner Up","Heat",92.3333333333333,33.6666666666667,74.6666666666667,45.0892857142857,7.5,21.6666666666667,34.6153846153846,17.5,24.6666666666667,70.9459459459459,10.6666666666667,27.8333333333333,38.5,19.5,8,4.5,12.8333333333333,21.3333333333333
"65",2012,"Champion","Heat",102,35.6,76.8,46.3541666666667,8.4,19.6,42.8571428571429,22.4,27.2,82.3529411764706,9.8,30.4,40.2,18,6.6,3.8,11.4,19.6
"66",2012,"Runner Up","Thunder",98,36.6,80.4,45.5223880597015,6.4,21,30.4761904761905,18.4,23.8,77.3109243697479,9.8,28.2,38,15.8,7.2,5,11,22.4
"67",2013,"Champion","Heat",98.5,38,82.1666666666667,46.2474645030426,9.33333333333333,20.5,45.5284552845528,13.1666666666667,16.8333333333333,78.2178217821782,10,28.6666666666667,38.6666666666667,21.3333333333333,9.5,5.66666666666667,12.5,22.1666666666667
"68",2013,"Runner Up","Spurs",97.7142857142857,35.8571428571429,79.5714285714286,45.0628366247756,8.71428571428571,21.4285714285714,40.6666666666667,17.2857142857143,22.5714285714286,76.5822784810127,10.5714285714286,31.2857142857143,41.8571428571429,18.4285714285714,7,4.28571428571429,13.5714285714286,16.8571428571429
"69",2014,"Champion","Spurs",105.6,38.2,72.4,52.7624309392265,11,23.6,46.6101694915254,18.2,24.4,74.5901639344262,7.8,30,37.8,25.4,8,3.4,13.4,19.8
"70",2014,"Runner Up","Heat",91.6,33.6,71.2,47.1910112359551,9.2,23.2,39.6551724137931,15.2,20.6,73.7864077669903,5.6,26.6,32.2,15.2,8,2.2,14.4,23
"71",2015,"Champion","Warriors",100.666666666667,36.1666666666667,83,43.574297188755,11.1666666666667,31,36.0215053763441,17.1666666666667,24.8333333333333,69.1275167785235,10.5,33.6666666666667,44.1666666666667,23,8,5,12.6666666666667,24.1666666666667
"72",2015,"Runner Up","Cavaliers",93.5,32.6666666666667,85.1666666666667,38.3561643835616,8.16666666666667,27.8333333333333,29.3413173652695,20,28.5,70.1754385964912,12.5,35,47.5,15.8333333333333,7.5,5,12.1666666666667,22.1666666666667
"73",2016,"Champion","Cavaliers",100.428571428571,37.5714285714286,82.4285714285714,45.580589254766,8,24.2857142857143,32.9411764705882,17.2857142857143,23.8571428571429,72.4550898203593,11.7142857142857,32.1428571428571,43.8571428571429,18,9.28571428571429,5.42857142857143,13.2857142857143,21
"74",2016,"Runner Up","Warriors",99.8571428571429,35.5714285714286,82.5714285714286,43.0795847750865,13.4285714285714,36,37.3015873015873,15.2857142857143,20.7142857142857,73.7931034482759,10.2857142857143,29.5714285714286,39.8571428571429,22.5714285714286,6.57142857142857,5.71428571428571,13.7142857142857,21.4285714285714
"75",2017,"Champion","Warriors",121.6,43.2,91,47.4725274725275,14.2,37.2,38.1720430107527,21,25.6,82.03125,12.2,33.6,45.8,29.4,7.6,4.4,13.4,24.4
"76",2017,"Runner Up","Cavaliers",114.8,41.6,90.2,46.119733924612,13.2,34.6,38.150289017341,18.4,24.6,74.7967479674797,11.6,32,43.6,21.6,7.2,3.6,13.2,22.4
